PRIDE	RAW file	RAW file version	Creation date	Operator	Number of instruments	Description	Instrument model	Instrument name	Serial number	Software version	major	minor	Firmware version	Units	Mass resolution	Number of scans	Number of ms2 scans	Scan range	Time range	Mass range	Scan filter (first scan)	Scan filter (last scan)	Total number of filters	Sample name	Sample id	Sample type	Sample comment	Sample vial	Sample volume	Sample injection volume	Sample row number	Sample dilution factor	Sample barcode	Title	Repos	Species	Instrument	Publication	LabHead	Announce.Date	year	month	day	Keywords
PXD020879	.temp.raw	66	17/02/2017 11:53:38	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10188	2.1.1565.20	2	1		None	0.500	35314	15965	1-35314	5-135.05	99-2000	FTMS + p NSI Full ms [380.0000-1500.0000]	FTMS + c NSI sps d Full ms3 730.3561@cid30.00 474.5038@hcd60.00 [120.0000-750.0000]	15887			Unknown		C12	0	6	1	1		Whole proteome analysis of mesonephric-derived cancers describes new potential biomarkers	PRIDE	Homo sapiens 	Orbitrap Fusion	Gibbard et al. (2020)	Gregg Morin	2020-11-01	2020	11	01	mesonephric, TMT, 
PXD020943	.temp.raw	66	06/05/2019 02:06:01	Orbitrap Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10104	2.1.1565.23	2	1		None	0.500	12065	8248	1-12065	0-59.99	105-2000	FTMS + c ESI Full ms [400.0000-1300.0000]	FTMS + c ESI Full ms [400.0000-1300.0000]	2930		1	Unknown		rd3	0	80	10	1		NIK expression stimulated G6PD phosphorylation	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	David H. Hawke, Ph.D.	2020-10-05	2020	10	05	G6PD,NIK,phosphoralytion, 
PXD020990	.temp.raw	66	18/11/2017 15:09:53	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20176	2.1.1565.23	2	1		None	0.500	62562	29336	1-62562	0-125	88-2000	FTMS + c NSI Full ms [340.0000-1350.0000]	FTMS + c NSI sps d Full ms3 1003.7498@cid35.00 432.1293@hcd55.00 [110.0000-908.0000]	35779	jdm_vinay_f8	A1	Unknown		A8	0	4	8	1		Hypoxia TMT Proteomics on Pancreatic Cancer Cell Lines	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Hollinshead et al. (2020)	Joseph Mancias	2020-10-19	2020	10	19	Human, Hypoxia, Pancreatic Cancer, TMT, 
PXD021006	.temp.raw	66	30/11/2015 06:57:49	Orbitrap Fusion	6		Orbitrap Fusion	Orbitrap Fusion	FSN10285	2.0.1258.15	2	0		None	0.500	46086	20181	1-46086	0-190	91-2000	FTMS + p NSI Full ms [350.0000-1400.0000]	FTMS + p NSI sps d Full ms3 744.1932@cid30.00 430.9824@hcd55.00 [100.0000-500.0000]	25175		A	Unknown		BE2	0	3	14	1		Proteomic and glycoproteomic analysis of myogenesis in L6 myoblasts	PRIDE	Rattus norvegicus 	Orbitrap Fusion	Blazev et al. (2020)	Benjamin Parker	2021-01-29	2021	01	29	myogenesis, glycoproteomics, N-linked glycosylation, 
PXD021123	.temp.raw	66	27/11/2018 12:47:25	Lumos	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20380	2.1.1565.24	2	1		None	0.500	51865	43428	1-51865	0-60	100-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	FTMS + p NSI Full ms [375.0000-1500.0000]	6997		1	Unknown		GA1	0	20	0	1		NCAM1: A Novel Autoantigen in Membranous Lupus Nephritis	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Caza et al. (2020)	Chris Larsen	2020-10-19	2020	10	19	Human, Kidney, DDA, 
PXD021216	.temp.raw	66	30/09/2016 06:23:16	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	2.1.1565.23	2	1		None	0.500	50629	22845	1-50629	0-150	100-2000	FTMS + c NSI Full ms [350.0000-1400.0000]	FTMS + c NSI sps d Full ms3 532.3839@cid35.00 403.2681@hcd55.00 [100.0000-1000.0000]	25334	jdoc_pdf_B_06	  	Unknown		C2	0	1	12	1		Alkaloids modify the poison frog proteome	PRIDE	Oophaga sylvatica	Orbitrap Fusion	O'Connell et al. (2021)	Lauren A. O’Connell	2021-01-24	2021	01	24	Poison Dart Frog,gut, liver, skin, toxin, saxiphilin, complement system, cytochrome P450s, 
PXD021359	.temp.raw	66	21/09/2018 13:16:55	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10273	2.1.1565.23	2	1		None	0.500	49924	16089	1-49924	0-150	144-2000	FTMS + p ESI Full ms [197.0777-1550.0000]	FTMS + p ESI Full ms [197.0777-1550.0000]	4847	No693 uninfected #11 Gradient17	No693 uninfected #11Gradient17	Unknown	SL	C1	0	12	16	1		Grad-seq in Pseudomonas aeruginosa PAO1	PRIDE	Pseudomonas aeruginosa	Orbitrap Fusion	Dataset with its publication pending	J�rg Vogel	2021-01-06	2021	01	06	Pseudomonas Grad-seq RNA-binding proteome, 
PXD021444	.temp.raw	66	26/05/2017 16:34:24	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10182	2.1.1565.23	2	1		None	0.500	19997	14917	1-19997	0-74.57	120-2000	FTMS + p NSI Full ms [350.0000-1500.0000]	ITMS + c NSI r d Full ms2 593.3406@hcd34.00 [120.0000-1197.0000]	3580		RA1	Unknown		R1	0	1	0	1		A trimeric Rab7 GEF controls NPC1-dependent lysosomal cholesterol export	PRIDE	Homo sapiens 	Orbitrap Fusion	van den Boomen et al. (2020)	Paul Lehner	2020-10-29	2020	10	29	C18orf8, Mon1, Ccz1, Rab7, GEF, LDL, cholesterol, NPC1, lysosome, 
PXD021575	.temp.raw	66	18/10/2017 13:56:00	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10288	2.1.1565.18	2	1		None	0.500	90010	70548	1-90010	0-144.99	120-2000	FTMS + p NSI Full ms [350.0000-1550.0000]	FTMS + p NSI Full ms [350.0000-1550.0000]	9981		1	Unknown		RE1	0	8	0	1		A proteomics-based method for identifying antigens within immune complexes	PRIDE	Alphainfluenzavirus, Betainfluenzavirus, Homo sapiens 	Orbitrap Fusion	Menikou et al. (2020)	Michael Levin	2021-01-04	2021	01	04	Immune complexes, Metaproteomics, Human, Influenza, Orbitrap, 
PXD021642	.temp.raw	66	01/11/2017 02:42:51	Orbitrap Fusion	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	CA2-MP11	2.1.1565.23	2	1		None	0.500	85403	83319	1-85403	0-110.03	350-1850	FTMS + p NSI Full ms [350.0000-1300.0000]	FTMS + c NSI Full ms2 895.0000@hcd28.00 [350.0000-1850.0000]	41		A2	Unknown		B1	0	2	24	1		Novel protein biomarkers of monoamine metabolism defects correlate with disease severity	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Trist�n-Noguero et al. (2020)	Eduard Sabido	2020-11-16	2020	11	16	monoamine metabolism defects, proteomics, 
PXD021676	.temp.raw	66	16/04/2018 07:31:28	OrbitrapFusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10434	2.1.1565.24	2	1		None	0.500	40225	31348	1-40225	0-74.99	110-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	ITMS + c NSI r d Full ms2 651.8228@hcd31.00 [110.0000-1314.0000]	6401	WT		Unknown	trap 10442018, 25 cm column 10609126, fs tip	GD7	0	5	0	1		T7 DNA Polymerase with fluorescent unnatural amino acid	PRIDE	Escherichia virus T7	Orbitrap Fusion	Dangerfield & Johnson (2020)	Kenneth A. Johnson	2020-10-19	2020	10	19	T7, DNA polymerase, Unnatural amino acid, 7-hydroxycoumarin-4-yl ethylglycine, 
PXD021758	.temp.raw	66	10/06/2016 09:22:03	MassSpec	2		Orbitrap Elite	Orbitrap Elite	SN03093B	2.7.0 SP1	2	7		None	0.500	31401	25498	1-31401	0.01-124.99	70-2000	FTMS + p NSI Full ms [300.00-2000.00]	FTMS + p NSI Full ms [300.00-2000.00]	5772		1	Unknown		2:A,2	0	1	0	1		TRIM9 and TRIM67 interactome using the BioID approach	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Menon et al. (2020)	Stephanie L. Gupton	2021-01-04	2021	01	04	Embryonic cortical neurons, Orbitrap Fusion Lumos, 
PXD021827	.temp.raw	66	24/09/2019 03:29:36	fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10396	2.0.1258.15	2	0		None	0.500	109718	90903	1-109718	20.01-190	110-2000	FTMS + p NSI Full ms [360.0000-1560.0000]	FTMS + p NSI Full ms [360.0000-1560.0000]	9027		Christian; 3 sept. 2019; MCX;  Res. 12uL 2%ACN 1% FA; sample 17 EcoliWT 1.1  	Unknown		C9	0	10	4	1		Impact of KsgA/Dim1 on proteostasis in Haloferax volcanii and Escherichia coli	PRIDE	Escherichia coli, Haloferax volcanii	Orbitrap Fusion	Kn�ppel et al. (2021)	Marlene Heloise Oeffinger	2021-01-24	2021	01	24	KsgA, Dim1, dimethyltransferase, m6A, ribosome, archaea, Haloferax volcanii, Escherichia coli., 
PXD021915	.temp.raw	66	10/10/2016 23:54:34	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10165	2.0.1258.15	2	0		None	0.500	131501	123042	1-131501	0-240	120-2000	FTMS + p NSI Full ms [350.0000-1500.0000]	FTMS + p NSI Full ms [350.0000-1500.0000]	13223		1	Unknown		B5	0	5	24	1		System-wide identification and prioritization of enzyme substrates by thermal analysis (SIESTA)	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Prof. Roman A. Zubarev	2021-01-10	2021	01	10	Pulldown, PARP10, HCT116, LC-MS, 
PXD021988	.temp.raw	66	30/03/2018 11:40:37	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20124	2.1.1565.23	2	1		None	0.500	49512	42018	1-49512	0-120.02	110-2000	FTMS + p NSI Full ms [350.0000-1800.0000]	FTMS + c NSI d Full ms2 1030.4821@hcd32.00 [110.0000-2000.0000]	5900			Unknown		E4	0	10	3	1		Human, bronchoalveolar lavage, extracellular vesicles	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Carvalho et al. (2020)	Rune Matthiesen	2020-12-15	2020	12	15	bronchoalveolar lavage, lung cancer, extracellular vesicles, 
PXD022220	.temp.raw	66	19/09/2019 05:37:42	Orbitrap Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20324	2.1.1565.23	2	1		None	0.500	51408	43208	1-51408	0-120	110-2000	FTMS + p NSI Full ms [300.0000-1500.0000]	FTMS + c NSI d Full ms2 468.7896@hcd36.00 [110.0000-948.0000]	7237		1	Unknown		C6	0	5	7	1		Quantitative proteomics analysis of Mycoplasma pneumoniae identifies potential macrolide resistance determinants	PRIDE	Mycoplasma pneumoniae	Orbitrap Fusion Lumos	Li et al. (2021)	Yuan Jing	2021-02-25	2021	02	25	Mycoplasma pneumoniae, drug resistance, whole proteomes, quantitative proteomic technique, differentially expressed proteins, 
PXD022260	.temp.raw	66	20/06/2017 22:31:22	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20154	2.1.1565.15	2	1		None	0.500	66100	30572	1-66100	0-180	91-2000	FTMS + c NSI Full ms [350.0000-1350.0000]	FTMS + c NSI sps d Full ms3 747.4391@cid35.00 426.5010@hcd55.00 [110.0000-1467.0000]	36608	rbr_tc-d438_F1A	A1	Unknown		E5	0	1	2	1		Circadian Profiling of the Bone Marrow Derived Macrophage Proteome	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Collins et al. (2021)	Jennifer Hurley	2021-02-11	2021	02	11	Macrophage, Circadian, Tandem Mass Tag, 
PXD022818	.temp.raw	66	13/01/2018 07:32:46	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10194	2.1.1565.24	2	1		None	0.500	23916	18169	1-23916	0-90	120-2000	FTMS + p NSI Full ms [375.0000-1575.0000]	FTMS + p NSI Full ms [375.0000-1575.0000]	3537		3	Unknown		GB4	0	20	9	1		Identification of the modified residues on endogenous Arouser immunoprecipitated from wild-type Drosophila melanogaster larvae	PRIDE	Drosophila melanogaster (Fruit fly)	Orbitrap Fusion	Dataset with its publication pending	Professor Ioannis Nezis	2020-12-09	2020	12	09	Drosophila, Arouser, phosphorylation, Warwick-rtp, 
PXD023178	.temp.raw	66	29/09/2017 06:56:20	orbitrap	3		Orbitrap Fusion	Orbitrap Fusion	FSN10214	2.1.1565.23	2	1		None	0.500	74059	63960	1-74059	10.01-126	77-2000	FTMS + p NSI Full ms [300.0000-1800.0000]	FTMS + p NSI Full ms [300.0000-1800.0000]	16959		1	Unknown	15/30ul	RD3	0	15	4	1		Protein-protein interaction of Phytophthora infestans RxLR effector AvrCap1 by immunoafinity enrichment in planta	PRIDE	Phytophthora infestans	Orbitrap Fusion	Dataset with its publication pending	Jan Sklenar	2021-03-02	2021	03	02	Phytophthora infestans, RxLR effector, AvrCap1, RD54, 
PXD023367	.temp.raw	66	24/04/2017 04:13:17	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10298	2.1.1565.23	2	1		None	0.500	125814	110976	1-125814	0-136	110-2000	FTMS + p NSI Full ms [350.0000-1400.0000]	ITMS + c NSI r d Full ms2 856.2097@hcd30.00 [110.0000-2000.0000]	10374		RA1	Unknown		rc7	0	12	10	1		Loss of COX4i1 leads to combined respiratory chain deficiency and impaired mitochondrial protein synthesis	PRIDE	Homo sapiens 	Orbitrap Fusion	Čunátová et al. (2021)	Tomas Mracek	2021-02-18	2021	02	18	mitochondria, OXPHOS, COX, COX4, knock-out, COX assembly, complex I, biogenesis interdependency, complexome profiling, mitochondrial protein synthesis, 
PXD023485	.temp.raw	66	22/09/2018 15:44:19	biomsuser	2		Orbitrap Velos Pro	Orbitrap Velos Pro	SN03100B	2.7.0 SP1	2	7		None	0.500	16876	13979	1-16876	0-100.01	90-2000	FTMS + p NSI Full ms [375.00-1800.00]	ITMS + c NSI d Full ms2 519.14@cid35.00 [130.00-530.00]	4183	MB-14	1	Unknown	Matt Blank Parasite dMS	2:A,5	0	1	26	1		Host proteins interacting with T. gondii Mitochondrial Association Factor 1	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Jon Boyle	2021-03-05	2021	03	05	Toxoplasma gondii, mitochondria, 
PXD023516	.temp.raw	66	23/05/2017 06:46:29	Orbitrap_Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10303	2.1.1565.20	2	1		None	0.500	34867	24948	1-34867	0-80	105-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	ITMS + c NSI r d Full ms2 564.3872@cid35.00 [150.0000-1139.0000]	6290		1	Unknown		1	0	10	11	1		XIST CHIRP-MS in GM12878 and K562 cell line	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Howard Y. Chang	2021-03-07	2021	03	07	ChIrP-MS, 
PXD023612	.temp.raw	66	29/05/2020 11:43:38	Administrator	1		Orbitrap Elite	Orbitrap Elite	SN05273B	2.7.0 SP2	2	7		None	0.500	24755	22267	1-24755	0-120	100-2000	FTMS + p NSI Full ms [350.00-2000.00]	FTMS + p NSI Full ms [350.00-2000.00]	5126		1	Unknown		B7	0	5	12	1		Allergenicity Assessment and Allergen Profile Analysis of Different Chinese Wheat Cultivars	PRIDE	Triticum aestivum 	Orbitrap Fusion	Dataset with its publication pending	Linglin Fu	2021-03-01	2021	03	01	Chinese Wheat Cultivars,Allergen, 
PXD023749	.temp.raw	66	07/11/2020 20:05:07	Thermo	5		Orbitrap Exploris 480	Orbitrap Exploris Slot #17	MA10017N	2.0-2.0.122.16/2.0.182.25	2	0-2	rev. 1	None	0.500	61611	49594	1-61611	0-120	120-8000	FTMS + c NSI Full ms [375.0000-1500.0000]	FTMS + c NSI Full ms [375.0000-1500.0000]	20796		1	Unknown	Erwan Dumontet - Vesicules Culture cell - C - AMG-4 - HD - 001	BD6	10	1	5	1		Extracellular vesicles shed by follicular lymphoma B cells promote the polarization of bone marrow stromal cell niche	PRIDE	Homo sapiens 	Orbitrap Eclipse	Dataset with its publication pending	Damarys Loew	2021-02-08	2021	02	08	Folicular Lymphoma-derived extracellular vesicles, Tumor Niche, Bone Marrow stromal cells, 
PXD024317	.temp.raw	66	31/01/2017 06:21:52	Orbitrap_Lumos	7		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20206	2.0.1258.15	2	0		None	0.500	85397	79837	1-85397	18.02-160	120-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + c NSI d Full ms2 872.4196@hcd35.00 [120.0000-1755.0000]	8491		1	StdBracket		RE1	0	4	15	1		Proteomics characterization of the neuroprotective effects of low-dose methamphetamine on rats with traumatic brain injury (TBI)	PRIDE	Rattus norvegicus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Jun Qu	2021-03-01	2021	03	01	traumatic brain injury, methamphetamine, large-scale proteomics, IonStar, 
PXD008624	.temp.raw	66	06/06/2018 17:03:42	Lumos	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20331	3.0.2041	3	0		None	0.500	28412	14995	1-28412	10-107	100-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	FTMS + p NSI Full ms [375.0000-1500.0000]	3286		RA6	Unknown		RB2	0	10	2	1		E2~dID: A versatile approach to identify substrates modified with ubiquitin and ubiquitin-like molecules by specific E3 enzymes	PRIDE	Homo sapiens , Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion Lumos	Bakos et al. (2018)	Jyoti Choudhary	2019-04-03	2019	04	03	Biological, Ubiquitin, AP-MS, TMT, 
PXD009648	.temp.raw	66	08/03/2018 04:11:51	Orbitrap_Lumos	4		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20113	3.0.2041	3	0		None	0.500	63090	43378	1-63090	0-185	110-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI Full ms [400.0000-1600.0000]	6948		10	Unknown		GG7	0	3.5	1	1		Cross-linking/mass spectrometry analysis of the AOC complex	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion Lumos	Anedchenko et al. (2018)	Juri Rappsilber	2018-10-30	2018	10	30	Biological, Cross-linking/mass spectrometry, protein interaction, centromere, CENP-A, Okp1, Ame1, 
PXD009677	.temp.raw	66	12/12/2017 21:14:34	fusionlumos	5		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	CA2-MP10	3.0.2022.16	3	0		None	0.500	28457	14531	1-28457	0-102.99	110-2000	FTMS + p NSI Full ms [197.0777-1500.0000]	FTMS + p NSI Full ms [197.0777-1500.0000]	4866		3	Unknown		ge2	0	0.7	4	1		A TFEB nuclear export signal integrates amino acid supply and glucose availability	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Li et al. (2018)	Roman Fischer	2018-10-18	2018	10	18	Biological, TFEB, Nuclear Export Signal, GSK3, mTOR, Glucose Lysosome biogenesis Running header: TFEB nuclear export, 
PXD009696	.temp.raw	66	06/09/2017 09:25:45	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20299	3.0.2022.16	3	0		None	0.500	14752	12654	1-14752	0.01-75.05	120-2000	FTMS + p NSI Full ms [350.0000-1500.0000]	FTMS + p NSI d sa Full ms2 506.8539@etd100.00 506.8539@hcd30.00 [120.0000-1024.0000]	3457		1	Unknown		E8	0	10	8	1		Identificatioin of phosphoarginine proteins and sites in Jurkat cells by LC-MS/MS	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Yufen Zhao	2020-07-01	2020	07	01	Human Proteome Project, Biological, Jurkat, phosphoarginine, proteins, sites, LC-MS/MS, 
PXD009891	.temp.raw	66	17/09/2018 06:20:21	COMPUTER	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	CA2-MP09	3.0.2041	3	0		None	0.500	97373	87167	1-97373	0-160	110-2000	FTMS + p NSI Full ms [400.0000-1250.0000]	FTMS + p NSI Full ms [400.0000-1250.0000]	7075		VID_EX25_1	Unknown		C1	0	4	10	1		Profiling the proteomic inflammatory state of human astrocytes using DIA mass spectrometry	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dozio & Sanchez (2018)	Jean-Charles Sanchez	2018-12-10	2018	12	10	Technical, DIA MS human astrocytes inflammation, 
PXD009915	.temp.raw	66	31/03/2018 07:31:11	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10194	3.0.2041	3	0		None	0.500	10389	7075	1-10389	0-44.99	120-2000	FTMS + p NSI Full ms [375.0000-1575.0000]	FTMS + p NSI Full ms [375.0000-1575.0000]	2318		2	Unknown		RB7	0	20	21	1		Evidence for the nuclear import of monomeric histones H3.1 & H4	PRIDE	Homo sapiens 	Orbitrap Fusion	Apta-Smith, Hernandez-Fernaud & Bowman (2018)	Andrew Bowman	2018-09-10	2018	09	10	Biological, Human, histones, 
PXD010046	.temp.raw	66	28/01/2018 20:24:52	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20112	3.0.2022.16	3	0		None	0.500	62689	52904	1-62689	0.01-110	110-2000	FTMS + p NSI Full ms [300.0000-1500.0000]	FTMS + p NSI Full ms [300.0000-1500.0000]	9866		1	Unknown		1	0	10	0	1		Formaldehyde-crosslinking enables comprehensive profiling of in vivo RNA-interactome in UV-impermeable samples	PRIDE	Xenopus laevis (African clawed frog), Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Jong-Seo Kim	2020-11-24	2020	11	24	Technical, Biological, RBP formaldehyde, 
PXD010117	.temp.raw	66	02/04/2018 15:11:13	Orbitrap Fusion	4		Orbitrap Fusion	Orbitrap Fusion	FSN10260	3.0.2041	3	0		None	0.500	52423	32919	1-52423	10.01-135	110-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	ITMS + c NSI r d Full ms2 1053.0254@hcd32.00 [110.0000-2000.0000]	6368		1	Unknown		RB2	0	5	4	1		Dissecting the malaria interactome	PRIDE	Plasmodium berghei	Orbitrap Fusion	Hillier et al. (2019)	Jyoti Choudhary	2019-08-06	2019	08	06	Biological, Biomedical, Malaria, Berghei,, 
PXD010126	.temp.raw	66	24/02/2018 04:50:44	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20243	3.0.2041	3	0		None	0.500	64882	37441	1-64882	0-120	110-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI d Full ms2 643.6453@hcd30.00 [110.0000-1941.0000]	5504		1	Unknown		B1	0	2	0	1		Multifaceted stoichiometry control of bacterial operons revealed by data-independent acquisition mass spectrometry	PRIDE	Escherichia coli	Orbitrap Fusion Lumos	Zhao et al. (2019)	Gong Zhang	2019-11-12	2019	11	12	Biological, faceted stoichiometry control,operons, mass spectrometry, 
PXD010150	.temp.raw	66	01/03/2018 12:50:06	SYSTEM	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20129	3.0.2041	3	0		None	0.500	56101	41271	1-56101	0-150	100-2000	FTMS + p NSI Full ms [375.0000-1575.0000]	FTMS + p NSI Full ms [375.0000-1575.0000]	6276			Unknown			0	0	1	0		Nanowell-Mediated Two-Dimensional Liquid Chromatography Proteome Profiling of Mammalian Cells	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Wang et al. (2020); Dou et al. (2018)	Ryan Kelly	2018-10-18	2018	10	18	Technical, proteomics, microfluidics, 2D LC, 
PXD010161	.temp.raw	66	03/11/2018 17:29:39	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20143	3.0.2041	3	0		None	0.500	43442	27668	1-43442	5.02-119	110-2000	FTMS + p NSI Full ms [375.0000-1300.0000]	ITMS + c NSI r d Full ms2 718.7820@hcd28.00 [110.0000-1448.0000]	5612		2020_L_KarenSap_diGly_WI_3	Unknown		C3	0	2	2	1		Proteome and ubiquitinome changes in Huntington’s disease	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Sap et al. (2019)	Eric A. Reits	2019-06-05	2019	06	05	Huntington, Mouse, Brain, Ubiquitination, diGly, PTMs, LFQ, 
PXD010274	.temp.raw	66	26/05/2018 11:59:28	iLumos	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20283	3.0.2041	3	0		None	0.500	34823	29713	1-34823	0-65.01	51-2000	FTMS + p NSI Full ms [197.0777-1600.0000]	ITMS + c NSI r d Full ms2 1568.2542@cid32.00 [426.0000-2000.0000]	8508		RA1	Unknown		GA1	0	4	0	1		An endo-acting galactanase with a type II signal peptide confers keystone status to arabinogalactan degrading bacteria of the human gut microbiota	PRIDE	Bacteroides cellulosilyticus, Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	Orbitrap Fusion Lumos	Dataset with its publication pending	Matthias Trost	2018-07-03	2018	07	03	Metaproteomics, Biological, Glycan degradation, Gut microbiota, Keystone organism, 
PXD010333	.temp.raw	66	10/04/2018 18:31:39	science.bms.lab	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20276	3.0.2022.16	3	0		None	0.500	35163	30232	1-35163	0-90	150-2100	FTMS + p NSI Full ms [375.0000-1700.0000]	FTMS + p NSI Full ms [375.0000-1700.0000]	8890		1	Unknown		1:C4	0	9	0	1		Analysis of intact mannose-6-phosphate glycopeptides	PRIDE	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus), Homo sapiens 	Orbitrap Fusion Lumos	Caval et al. (2018)	Albert J R Heck	2018-12-18	2018	12	18	Biological, CHO, Hela, IMAC, M6P, glycopeptide, 
PXD010416	.temp.raw	66	03/12/2017 10:51:58	Orbitrap Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20383	3.0.2022.4	3	0		None	0.500	73001	34707	1-73001	0-190.02	89-2000	FTMS + c NSI Full ms [340.0000-1350.0000]	FTMS + c NSI d Full ms3 472.4543@cid35.00 555.7521@hcd55.00 [110.0000-650.0000]	40581		C8	Unknown		C8	0	5	16	1		Thalidomide promotes degradation of SALL4, a transcription factor implicated in Duane Radial Ray Syndrome, part 1	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Donovan et al. (2018)	Eric S. Fischer	2018-08-09	2018	08	09	Biomedical, IMiDs, thalidomide, ubiquitin, cullin, crl4, 
PXD010417	.temp.raw	66	25/03/2018 03:44:41	Orbitrap Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20383	3.0.2022.4	3	0		None	0.500	75890	36115	1-75890	0-190.03	88-2000	FTMS + c NSI Full ms [340.0000-1350.0000]	FTMS + c NSI d Full ms3 614.2963@cid35.00 405.3340@hcd55.00 [110.0000-643.0000]	42203		WP-ESF044C8	Unknown		C8	0	3	24	1		Thalidomide promotes degradation of SALL4, a transcription factor implicated in Duane Radial Ray Syndrome, part 2	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Donovan et al. (2018)	Eric S. Fischer	2018-08-09	2018	08	09	Biomedical, IMiDs, thalidomide, ubiquitin, cullin, crl4, 
