Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD008794	Molecular profiling of vascular beds in vivo by DISDIVO	PRIDE	Mus musculus 	LTQ Orbitrap Velos	Dataset with its publication pending	Siu Kwan Sze	2018-12-06	DISDIVO, endothelial dysfunction, smooth muscle cells, endothelial cells, glycocalyx, in vivo, 
PXD011602	LC-MSMS of RIBOPROTEOMES OF HEALTHY, POTATO VIRUS A- AND AGROBACTERIUM -INFECTED NICOTIANA BENTHAMIANA PLANTS	PRIDE	Nicotiana benthamiana, Potato virus A, Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	LTQ Orbitrap Elite	Eskelin et al. (2018)	Katri Eskelin	2018-12-05	Biomedical, Ribosome, LC-MSMS, Nicotiana benthamiana, plant, potato virus a, Agrobacterium tumefaciens, healthy plants, 
PXD009476	Site-specific Extraction of O-linked glycopeptides (EXoO) Maps Landscape of In Vivo O-linked Glycoproteome	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Yang et al. (2020); Yang et al. (2018)	Hui Zhang	2018-12-05	Technical, Site-specific, in vivo, O-linked, glycosylation, EXoO, 
PXD011241	Exosomes of p53 mutant H1299 cells	PRIDE	Homo sapiens 	LTQ Orbitrap Elite	Novo et al. (2018)	Sara Zanivan	2018-12-04	Biomedical, Human, H1299, Cancer, Podocalyxin, p53, 
PXD011242	Quantitative Proteomics analysis of LX-2 Responses to Irradiation and TGF-β1 Description	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Yuan et al. (2018)	Zhaochong Zeng	2018-12-04	iTRAQ, Hepatic stellate cell, Irradiation, 
PXD005692	Analysis of Human Breast Tumors by Integrated Proteotranscriptomics	PRIDE	Homo sapiens 	LTQ Orbitrap	Tang et al. (2018)	Wei Tang	2018-12-04	Biomedical, breast cancer proteomics, 
PXD011312	Mapping the proteome of the synaptic cleft through peroxidase-based reporter protein SynCAM1-HRP	PRIDE	Rattus norvegicus 	Orbitrap Fusion ETD	Cijsouw et al. (2018)	TuKiet Lam	2018-12-04	Biological, SynCAM1, proximity labeling, synaptic cleft, synapse composition, synaptomics, LC MS/MS, Proteomics, 
PXD010120	Laboratory adaptation of Bacillus anthracis	PRIDE	Bacillus anthracis str. Ames	LTQ Orbitrap	Leiser et al. (2018)	Helen Kreuzer	2018-12-04	Biological, Anthrax, Bacillus anthracis, evolution, sporulation, shotgun proteomics, 
PXD011654	A web-based search tool for visualizing instrument performance using the Triple Knockout (TKO) proteome standard	PRIDE	Bos taurus , Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion Lumos	Gygi et al. (2018)	Joao A. Paulo	2018-12-04	Technical, TKO, interference, TMT, iTRAQ, SPS-MS3, TVT, Shiny, 
PXD011440	tgPOFUT2 mediated glycosylation_pft line controls	PRIDE	Toxoplasma gondii GT1	Orbitrap Fusion Lumos	Khurana et al. (2018)	Nichollas Scott	2018-12-04	glycosylation, Toxoplasma, 
PXD010714	tgPOFUT2 mediated glycosylation	PRIDE	Toxoplasma gondii GT1	Orbitrap Fusion Lumos; Q Exactive	Khurana et al. (2018)	Nichollas Scott	2018-12-04	Glycoproteomics (B/D-HPP), Toxoplasma gondii, C-glycosylation, Fucosylation, MIC2, 
PXD000171	The effect of proteasome inhibition on the HLA peptidome	PRIDE	Homo sapiens 	LTQ Orbitrap	Milner et al. (2013)	Arie Admon	2018-12-04	Biological, HLA peptidome, dynamic SILAC, proteasome inhibitors, 
PXD010401	Notch2 controls non-autonomous Wnt-signalling in chronic lymphocytic leukaemia	PRIDE	Mus musculus 	Orbitrap Fusion	Mangolini et al. (2018)	Ingo Ringshausen	2018-12-04	Biological, Biomedical, NOTCH, WNT, CLL, plasma membrane, 
PXD009061	Comparison of proteomic sample preparation and data analysis methods by means of human follicular fluids	PRIDE	Homo sapiens 	Orbitrap Fusion ETD	Lehmann et al. (2018)	Prof. Hortense Slevogt	2018-12-04	Technical, Proteomics, Follicular fluids, Sample preparation, data analysis, 
PXD007899	Integrated in vivo quantitative proteomics and nutrient tracing reveals age-related metabolic rewiring of pancreatic B-cell function	MassIVE	Mus musculus	LTQ Orbitrap Velos	no publication	Maike Sander	2018-12-03	aging, SILAM Mud-PIT mass spectrometry, quantitative proteomics, insulin secretion, B-cell, B-cell maturation, B-cell function, 
PXD011755	Comparison of two solid-phase extraction (SPE) methods for the identification and quantification of porcine retinal protein markers by LC MS/MS	PRIDE	Sus scrofa domesticus (domestic pig), Homo sapiens 	LTQ Orbitrap	Schmelter et al. (2018)	Carsten Schmelter	2018-12-03	Technical, Mass spectrometry, Glaucoma animal model, Biomarkers, Sample clean-up, ZIPTIP® C18 pipette tips, SOLAμTM HRP SPE spin plates, 
PXD011844	Human osteoblasts quantitative proteomic analysis after cocultivation with endothelial cells	PRIDE	Homo sapiens 	LTQ Orbitrap	Simunovic et al. (2019)	G�nter Finkenzeller	2018-12-03	Biomedical, angiogenesis, bone tissue engineering, human umbilical vein endothelial cells (HUVECs), primary human osteoblasts (hOBs), quantitative proteomics, stable isotope labeling by amino acids in cell culture (SILA
PXD011280	BioID proximity biotinylation-MS analysis of human main RAS GTPases in K-562 CML cells	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Bigenzahn et al. (2018)	Giulio Superti-Furga	2018-12-03	Biomedical, CML, RAS GTPases, BioID, LC-MS, 
PXD010201	The human allicin-proteome: global protein S-thioallylation of by the garlic defence substance allicin and its biological effects	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Gruhlke et al. (2018)	Prof. Dr. Haike Antelmann	2018-11-30	Biological, Allicin, S-thioallylation, protein modification, cysteine, cytoskeleton, actin, enolase, zinc, Jurkat, fibroblasts, T-cells, interleukin IL1, IL2, 
PXD009711	Mode of action studies for a novel anti-leishmania compound	PRIDE	Leishmania donovani	LTQ Orbitrap Velos	Dataset with its publication pending	Ian H Gilbert	2018-11-30	Biomedical, Chemical proteomics, Leishmania, 
PXD011892	Multi-omics of the rhizosphere communities of wheat - Part 2	PRIDE	uncultured soil bacterium S0137	LTQ Orbitrap Elite	Dataset with its publication pending	Chongle Pan	2018-11-30	metaproteomics, proteomic SIP, wheat, 
PXD011891	Multi-omics of the rhizosphere communities of Maize - Part 1	PRIDE	uncultured soil bacterium S0137	LTQ Orbitrap Elite	Dataset with its publication pending	Chongle Pan	2018-11-30	metaproteomics, proteomic SIP, maize, 
PXD006353	An optimised method for CSF extracellular vesicle extraction and comparative proteomic analysis	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Thompson et al. (2018)	Pr. Benedikt Kessler	2018-11-30	Technical, Extracellular vesicles, cerebrospinal fluid, LC-MS/MS, 
PXD010991	Calcineurin dependent protein phosphorylation changes during egg activation in Drosophila melanogaster	PRIDE	Drosophila melanogaster (Fruit fly)	Orbitrap Fusion	Dataset with its publication pending	Mariana Federica Wolfner	2018-11-29	Biological, egg activation, phosphorylation, calcineurin, proteomics, Drosophila melanogaster, 
PXD011214	Urinary glycopeptide analysis for the investigation of novel biomarkers	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Belczacka et al. (2018)	Martin Pejchinovski	2018-11-29	Biomedical, glycopeptides, glycosylation, protein biomarkers, posttranslational modifications, urine, 
PXD010466	Characterization of legumain degradation of intact proteins	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	http://dx.doi.org/10.17344/acsi.2018.4632	Marko Fonovic	2018-11-29	Biological, proteolysis, proteases, degradome, cleavage specificity, legumain, 
PXD008860	Deep proteogenomics of Bacillus subtilis provides insights into function and evolution of bacterial organism	PRIDE	Bacillus subtilis subsp. subtilis str. 168	LTQ Orbitrap XL; LTQ Orbitrap Elite	Ravikumar et al. (2018)	Prof. Dr. Boris Macek	2018-11-28	"Biological, ""Bacillus subtilis, Shotgun proteomics, Phosphorylation, Acetylation, Proteogenomics, Phylostratigraphy"", "
PXD011856	Proteomics analysis of nuclear envelope, cytoplasmic membrane and nuclear contents fractions isolated from mesenchymal stem cells, adipocytes and myocytes	MassIVE	Mus musculus	LTQ Orbitrap Velos	no publication	John R. Yates III	2018-11-27	shotgun proteomics, subcellular fractionation, nuclear envelope, endoplasmic reticulum, nuclear lamina, transmembrane protein, chromatin, 
PXD009610	Comparative characterization of osteoclasts derived from murine bone marrow macrophages and RAW 264.7 cells using quantitative proteomics	PRIDE	Mus musculus 	LTQ Orbitrap	Ng et al. (2018)	Shuying Yang	2018-11-27	Biological, osteoclast, proteomics, bone marrow macrophages, RAW264.7, 
PXD011187	Phosphoproteome and gene expression profiling of ALK inhibition in neuroblastoma cells lines reveals conserved oncogenic pathways	PRIDE	Homo sapiens 	Q Exactive; LTQ Orbitrap Elite	Van den Eynden et al. (2018)	Bengt Hallberg	2018-11-27	Biomedical, Phosphoproteome,ALK inhibition,neuroblastoma,oncogenic,pathways, 
PXD011657	IAP-LC-MS/MS to screen non-histone tri-methylation	PRIDE	Homo sapiens 	LTQ Orbitrap	Dataset with its publication pending	Wenyi Wei	2018-11-27	Technical, lysine trimethylaiton, ms, 
PXD009378	A chemoproteomic portrait of the oncometabolite fumarate	PRIDE	Homo sapiens 	LTQ Orbitrap	Kulkarni et al. (2019)	Eranthie Weerapana	2018-11-27	Biomedical, UOK262, hereditary leiomyomatosis and renal cell carcinoma (HLRCC), Fumarate hydratase (FH), Fumarate, Succination, Cysteine reactivity, LC-MSMS, 
PXD007599	Pitcher fluid protein profiling from Nepenthes spp.	PRIDE	Nepenthes x hookeriana, Nepenthes rafflesiana, Nepenthes ampullaria	LTQ Orbitrap	Zulkapli et al. (2017)	HOE-HAN GOH	2018-11-27	Biological, carnivorous, enzymes, LC-MS, Nepenthes, orbitrap, pithcer fluid, 
PXD009896	ITGA3 neg. human keratinocytes	PRIDE	Homo sapiens 	LTQ Orbitrap	He et al. (2018)	Joern Dengjel	2018-11-27	Biomedical, human, skin, keratinocyte, LC-MS/MS, 
PXD009202	MudPIT analyses of the protein succination after fumarate treatment of whole cell extracts from Hereditary Leiomyomatosis and Renal Cell Cancer (HLRCC) fumarate hydratase-deficient (FH-/-) cells	MassIVE	Homo sapiens	LTQ Orbitrap Velos	no publication	Laurence Florens	2018-11-26	succination, fumarate, oncometabolite, chemoproteomic, 
PXD009500	Bi-directional cell-pericellular matrix interactions direct stem cell fate	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Ferreira et al. (2018)	Bram Snijders	2018-11-26	Biological, stem cells, matrix proteins, interactions, fate, Lumos, orbitrap, SILAC, 
PXD008203	Receptor-mediated recruitment of cytosolic J-proteins to the mitochondrial outer membrane promotes assembly of preprotein translocases	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	LTQ Orbitrap	Opaliński Ł et al. (2018)	Bettina Warscheid	2018-11-26	Biological, SILAC, proteomics, mitochondria, yeast, cytosolic J-proteins, 
PXD011821	A region-resolved mucosa proteome of the human stomach	iProX	Homo sapiens	Orbitrap Fusion	Ni et al. (2019)	Jun Qin	2018-11-25	Human stomach, Mucosa, Proteome, Gastric cancer, 
PXD010938	Comparative proteomics using iodoTMT to identify changes in protein expression and cysteine oxidation in Leishmania mexicana	PRIDE	Leishmania mexicana MHOM/GT/2001/U1103	LTQ Orbitrap Elite	Dataset with its publication pending	Richard Burchmore	2018-11-23	Biological, Comparative proteomics, Leishmania mexicana, TMT, cysteine oxidation, 
PXD011200	Thermal proteome profiling of Arabidopsis thaliana	PRIDE	Arabidopsis thaliana	LTQ Orbitrap Elite	Volkening, Stecker & Sussman (2019)	Michael R Sussman	2018-11-23	Arabidopsis,LC-MS,TPP, 
PXD010342	Inhibition of histone methyltransferase EZH2 in Schistosoma mansoni by GSK343 decreases the expression of genes implicated in DNA replication and ncRNA metabolism	PRIDE	Schistosoma mansoni (Blood fluke)	LTQ Orbitrap Velos	Pereira et al. (2018)	Sergio Verjovski-Almeida	2018-11-23	Biomedical, GSK343, Schistosoma mansoni, RNA-seq, proteomics, EZH2, 
PXD011535	Composition of the cerebrospinal fluid of normal and Mpdz-linked hydrocephalus-harboring mice	PRIDE	Mus musculus 	LTQ Orbitrap Elite	Dataset with its publication pending	Arie Horowitz	2018-11-23	Biological, Mpdz, hydrocephalus, choroid plexus, cerebrospinal fluid, mouse, 
PXD009350	Proteomics at large: Discovery and replication of plasma proteomic biomarkers in independent cohorts - Overweight and obese patients of the Weight Management Clinical program of The Ottawa Hospital	PRIDE	Homo sapiens 	LTQ Orbitrap Elite	Cominetti et al. (2018)	Lo�c Dayon	2018-11-23	Biological, Biomedical, Biomarker, Mass spectrometry, Plasma association map, Proteomics, Obesity, Overweight, Replication, 
PXD011738	Multi-omics of the initial soil communites	PRIDE	uncultured soil bacterium S0164	LTQ Orbitrap Elite	Dataset with its publication pending	Chongle Pan	2018-11-22	Metaproteomics, Biological, metaproteomics, soil microbial communities, 
PXD006912	Escherichia coli msbB-deficient mutant extracellular vesicle proteome	PRIDE	Escherichia coli	LTQ Orbitrap Velos	Kim et al. (2017)	Yong Song Gho	2018-11-22	Biological, Escherichia coli, extracellular vesicles, exosomes, outer membrane vesicles, bacteria, 
PXD006913	Staphylococcus aureus RN4220 wild-type extracellular vesicle proteome	PRIDE	Staphylococcus aureus	LTQ Orbitrap Velos	Kim et al. (2017)	Yong Song Gho	2018-11-22	Biological, Staphylococcus aureus, extracellular vesicles, exosomes, membrane vesicles, bacteria, 
PXD005785	The effect of chronic inflammation on molecular pathways of long-term potentiation in an APP/PS1 mouse model of Alzheimer Disease	PRIDE	Mus musculus 	Orbitrap Fusion Lumos; Orbitrap Fusion	Thygesen et al. (2018)	Martin R. Larsen	2018-11-21	Biomedical, LPS, LTP, brain, neuroinflammation, 
PXD011739	Proteomic SIP of the soil communities	PRIDE	uncultured soil bacterium S0137	LTQ Orbitrap Elite	Dataset with its publication pending	Chongle Pan	2018-11-21	Metaproteomics, Biological, Proteomic SIP, soil, 
PXD011737	Multi-omics of the rhizosphere communities of Arabidopsis	PRIDE	uncultured soil bacterium S0137	LTQ Orbitrap Elite	Dataset with its publication pending	Chongle Pan	2018-11-21	Metaproteomics, Biological, metaproteomics, proteomic SIP, rhizosphere, 
PXD011697	Global proteomic profiling of Salmonella infection by a giant phage	PRIDE	Salmonella phage SPN3US	Orbitrap Fusion Lumos	Weintraub et al. (2019)	Julie Thomas	2018-11-21	Salmonella, phage SPN3US, infection, 
PXD011519	Mass spectrometry of Phage PhiKZ gp54 with the prohead protease gp175	PRIDE	Pseudomonas phage phiKZ	Orbitrap Fusion Lumos	Weintraub et al. (2019)	Julie Thomas	2018-11-21	Biological, Pseudomonas phage PhiKZ, prohead protease, 
PXD011521	Global proteomic profiling of Salmonella infection by a giant phage - 2 sample SPN3US experiment	PRIDE	Salmonella phage SPN3US	LTQ Orbitrap Velos	Weintraub et al. (2019)	Julie Thomas	2018-11-21	Biomedical, Salmonella, phage SPN3US, 
PXD011520	Proteomic analyses of Pseudomonas infected with giant phage PhiKZ	PRIDE	Pseudomonas phage phiKZ	LTQ Orbitrap Velos	Weintraub et al. (2019)	Julie Thomas	2018-11-21	Biological, Pseudomonas, PhiKZ, infection, 
PXD007780	Identification of the Saccharomyces cerevisiae ZMP binders	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	LTQ; Q Exactive; LTQ Orbitrap	Dataset with its publication pending	Benoit Pinson	2018-11-21	Biological, Purines, affinity chromatography, yeast, 
PXD011609	Differential proteomic analysis of actinic keratosis, Bowen's disease and cutaneous squamous cell carcinoma by label-free LC-MS/MS	PRIDE	Homo sapiens 	LTQ Orbitrap	Azimi et al. (2018)	PROFESSOR PABLO FERNANDEZ PENAS	2018-11-21	Biomedical, Actinic keratosis, Bowen’s disease, Cutaneous squamous cell carcinoma, Mass spectrometry-based proteomics, 
PXD007154	Integrative proteomics reveals a protective role of PRC2 for the ground state pluripotent epigenome	PRIDE	Mus musculus 	Orbitrap Fusion; Q Exactive; Synapt MS	Dataset with its publication pending	Hendrik Marks	2018-11-21	Biological, Chromatin profiling, mouse embryonic stem cells, pluripotency, histone modifications, PRC2, 
PXD004054	SILAC analysis of Δhmt1 yeast	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	LTQ Orbitrap Velos	Chia et al. (2018)	Marc Roland Wilkins	2018-11-21	Biological, SILAC, yeast, HMT1, arginine methylation, methylation, phosphate, 
PXD009025	Quantification of calcyclin and heat shock protein 90 in sera from women with and without preeclampsia by mass spectrometry	PRIDE	Homo sapiens 	Orbitrap Fusion	G�zel et al. (2018)	Theo Luider	2018-11-21	Biomedical, HSP90, placenta, preeclampsia, PRM, serum, S100A6, 
PXD009614	Quantitative analysis of the exoproteome from a Staphylococcus aureus LAC sarA mutant	PRIDE	Staphylococcus aureus	LTQ Orbitrap	Byrum et al. (2018)	Alan J. Tackett	2018-11-21	Biological, Biomedical, protease, proteolysis, Staphylococcus aureus, sarA, GelCMS, 
PXD011061	Bi-directional signaling by membrane-bound KitL induces proliferation and co-ordinates thymic endothelial cell and thymocyte expansion	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Buono et al. (2018)	Roman Fischer	2018-11-21	Kit ligand, thymocyte expansion, bi-directional signalling, 
PXD009417	Proteomics of MCF7 cells (LC-MS/MS Orbitrap Fusion Tribrid)	PRIDE	Homo sapiens 	Orbitrap Fusion	Clamer et al. (2018)	Gabriella Viero	2018-11-21	Technical, translation, RiboLace, polysome profiling, RNA-seq, POL-seq, MCF7, 
PXD009224	Chemical cross-linking enables drafting ClpXP proximity maps and taking snapshots of in vivo interaction networks	PRIDE	Escherichia coli, Homo sapiens , Staphylococcus aureus	Orbitrap Fusion ETD; Q Exactive	Fux et al. (2018)	Stephan A. Sieber	2018-11-21	Technical, Biological, chemical cross-linking, ClpP, ClpXP, co-IP, interacting proteins, 
PXD011456	Global analysis of methionine oxidation provides a census of folding stabilities for the human proteome	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Q Exactive	Walker et al. (2019)	Sina Ghaemmaghami	2018-11-21	Biological, Human, protein stability, protein folding, quantitative proteomics, methionine oxidation, Lumos, 
PXD011494	Recombinant HIV-1 426c Env Tryptic Digest Glycan Identifications and Semi-Quantification	PRIDE	Human immunodeficiency virus 1	Orbitrap Fusion ETD	Borst et al. (2018)	David Veesler	2018-11-21	Biomedical, VRC01, VRC01GL, GLVRC01, HIV, Human Immunodeficiency Virus, HIV-1, 426c, gp120, Vaccine, Immunogen, Glycan, Oligosaccharide, EndoH, Mannose, CryoEM, Xray Crystallography, 
PXD008383	Distribution of Collagen in Colorectal Liver Metastasis and Normal Liver tissue	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Theo M. Luider	2018-11-21	Biomedical, Collagen Mass spectrometry Proteomics Colorectal liver metastasis, 
PXD010162	Investigation of cytoplasmic cGAS interactions reveals association with OASL during HSV-1 infection	PRIDE	Homo sapiens 	Q Exactive; LTQ Orbitrap	Dataset with its publication pending	Ileana M Cristea	2018-11-21	Biomedical, cGAS, IP-MS, TMT, OASL, interactions, DNA sensing, 
PXD010200	Environment-driven changes of mRNA and protein levels in Pseudomonas aeruginosa	PRIDE	Pseudomonas aeruginosa (strain UCBPP-PA14)	LTQ Orbitrap Velos	Erdmann et al. (2018)	Andreas Pich	2018-11-20	Biological, Biomedical, Label-free quantification of proteins, mass spectrometry, post-transcriptional regulation, random forest prediction, proteome, transcriptome, 
PXD007828	PPARs and c-Myc regulate metabolism of renal tubules	PRIDE	Mus musculus 	LTQ Orbitrap Elite	Lyu et al. (2018)	Qin Zhou	2018-11-15	Biological, PPARγ, PPAR, c-Myc, Nrf2, lipid metabolism, glycolysis, renal proximal tubules, renal distal tubules, kidney, 
PXD010944	REX1 is the critical target of RNF12 in imprinted X chromosome inactivation in mice.	PRIDE	Mus musculus 	Q Exactive; LTQ Orbitrap	Gontan et al. (2018)	Jeroen Demmers	2018-11-15	Technical, Biological, REX1, RNF12, Mouse, SILAC, XCI, proteomics, 
PXD011622	Typing complex meningococcal vaccines to understand diversity and population structure of key vaccine antigens	PRIDE	Neisseria meningitidis serogroup B	LTQ Orbitrap	Rodrigues et al. (2018)	Jun Wheeler	2018-11-14	Outer membrane vesicle, Neisseria meningitidis, meningococcal, vaccines, shotgun proteomics, LC-MS/MS, 
PXD008209	MDCK Culture Medium	jPOST	cellular organisms	Q Exactive; Orbitrap Fusion	Yako et al. (2018)	Yasuyuki Fujita	2018-11-13	cell culture medium, SILAC, 
PXD011324	GASP and FASP are complementary for LC-MS/MS proteomic analysis of drug-metabolising enzymes and transporters in pig liver	PRIDE	Sus scrofa domesticus (domestic pig)	LTQ Orbitrap Elite	Howard et al. (2018)	Jill Barber	2018-11-12	Biological, GASP, FASP, Pig Liver, LC-MS/MS, Sample Preparation, 
PXD011649	Monsterscript_reverse_transcriptase_comparison	MassIVE	Geobacillus stearothermophilus	Orbitrap Fusion	no publication	Wei Yan	2018-11-09	bst 3, monsterscript, 
PXD010847	Proteome evolution under essential resource limitation	PRIDE	Chlamydomonas reinhardtii	LTQ Orbitrap XL	Tamminen et al. (2018)	Anita Julianne Tricia Narwani	2018-11-08	Biological, Chlamydomonas reinhardtii, divergent evolution, molecular phenotype, resource limitation, selection, stress, convergent evolution, shotgun proteomics, MudPIT, 
PXD011594	Arabidopsis ARF-ARFGEF interaction analyzed by AP-MS	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	LTQ Orbitrap XL	Dataset with its publication pending	Gerd J�rgens	2018-11-07	Biological, Arabidopsis, ARF GTPases, ARF-GEFs, membrane traffic, 
PXD011577	lnc-EAPV binding proteins in C57BL/6J BMDMs	PRIDE	Mus musculus 	LTQ Orbitrap Elite	Dataset with its publication pending	Feng Qian	2018-11-07	lnc-EPAV,RBP,BMDMs, 
PXD010316	Sulfurospirillum_fermentation_firstData	PRIDE	Sulfurospirillum multivorans, Sulfurospirillum cavolei, Sulfurospirillum cavolei NBRC 109482	Orbitrap Fusion	Dataset with its publication pending	Lorenz Adrian	2018-11-07	Biological, Sulfurospirillum hydrogenase hydrogen fermentation, 
PXD010303	Sulfurospirillum_fermentation - The experiments were done to investigate fermentation and hydrogen production by the Epsilonproteobacterium Sulfurospirillum multivorans and Sulfurospirillum cavolei. they were grown on pyurvate with or without the electron	PRIDE	Sulfurospirillum multivorans	Orbitrap Fusion	Dataset with its publication pending	Lorenz Adrian	2018-11-07	Biological, Sulfurospirillum hydrogenase hydrogen fermentation, 
PXD006900	Bacterial pore-forming toxins remodel the host epithelial cell proteome	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Malet et al. (2018)	Pascale Cossart	2018-11-07	Biological, Biomedical, listeria infection, pore-forming toxin, SILAC, listeriolysin O, 
PXD006996	Bacterial pore-forming toxins remodel the host epithelial cell proteome	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Malet et al. (2018)	Pascale Cossart	2018-11-07	Biomedical, listeriolysin O, listeria, infection, 
PXD007035	Loss-of-function of ubiquitin ligase adaptor LZTR1 triggers human disease by dysregulating RAS ubiquitination	PRIDE	Mus musculus 	Q Exactive HF; LTQ Orbitrap Elite	Dataset with its publication pending	Anna A Sablina	2018-11-07	RAS signalling, ubiquitin, schwannomatosis, Noonan syndrome, 
PXD010805	Dynamic proteomics reveals unexpected plasticity of cellular proteome	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Roman Zubarev	2018-11-07	Biological, Biomedical, mass spectrometry, time series, proteomics, 
PXD007762	Dynamic proteomics reveals unexpected plasticity of cellular proteome: growth-related and drug-induced changes in cancer cells are comparable	PRIDE	Homo sapiens 	Orbitrap Fusion; Q Exactive Plus	Dataset with its publication pending	Roman Zubarev	2018-11-07	Biomedical, FITExP, mass spectrometry, proteomics, principal component analysis, time series, 
PXD008411	Patient-derived KEAP1 superbinder mutants stabilize KEAP1 structure and sequester NRF2 in p62-dependent clusters	PRIDE	Homo sapiens 	LTQ Orbitrap Elite	Cloer et al. (2018)	Ben Major	2018-11-07	Biomedical, KEAP1, NRF2, mutations, lung cancer, superbinders, p62, clusters, 
PXD011492	In Silico Analysis Validates Proteomic Findings of Formalin-fixed Paraffin Embedded Cutaneous Squamous Cell Carcinoma Tissue	PRIDE	Homo sapiens 	LTQ Orbitrap	Azimi et al. (2016)	Professor Pablo Fernandez-Penas	2018-11-07	Biomedical, Cutaneous squamous cell carcinoma, formalin-fixed paraffin embedded, label-free mass spectrometry, laser capture microdissection, proteomics, 
PXD006156	RNF8 mediates NONO degradation following UV-induced DNA damage to properly terminate ATR-CHK1 checkpoint signaling	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Deshar et al. (2019)	Jong-Bok Yoon	2018-11-07	Biological, RNF8, E3 ligase, substrate identification, DNA damage, 
PXD008351	Human AHH1 cells heavy ion irradiation LC-MSMS	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Fan et al. (2018)	Ping Xu	2018-11-07	Human Proteome Project, Biological, Human, AHH1 cells, heavy ion radiation, LC-MSMS, 
PXD008499	Proteomics characterization of the non-model microorganism: Nannochloropsis gaditana.	PRIDE	Nannochloropsis gaditana	Orbitrap Fusion	10.37247/PAMB.1.2020.45; Fern�ndez-Acero et al. (2019)	Francisco Javier Fern�ndez Acero	2018-11-07	Biological, Nannochloropsis gaditana, Microalgae, proteomics, non-model organism, 
PXD011103	A non-canonical SWI/SNF complex underlies synthetic lethality in cancers driven by BAF complex perturbation	PRIDE	Homo sapiens 	LTQ Orbitrap Elite	Dataset with its publication pending	Cigall Kadoch	2018-11-06	mSWI/SNF, BAF, chromatin remodeling, BRD7, BRD9, DPF2, 
PXD011118	A novel germline variant in CSF3R highlights the potent oncogenic effects of loss of N-glycosylation and its implication for therapeutic intervention	PRIDE	Arachis hypogaea , Arabidopsis thaliana (Mouse-ear cress), Candida albicans , Halobacterium salinarum, Brassica napus , Acyrthosiphon pisum (Pea aphid), Equus caballus , Enterococcus faecalis (Streptococcus faecalis), Bombyx mori (Silk moth), Caenorhabdit	Orbitrap Fusion Lumos	Spiciarich et al. (2018)	Prof. Julia Maxson	2018-11-06	Biomedical, CSF3R, GCSFR, myeloid leukemia, glycosylation, receptor activation, 
PXD010580	Arabidopsis thaliana Col-0 pgm1 spsa1 highlight and chilling temperatures proteins LC-MS/MS	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	LTQ Orbitrap Elite	F�rtauer et al. (2018)	Thomas N�gele	2018-11-06	Technical, Biological, Arabidopsis thaliana, pgm1, spsa1, abiotic stress, combined stress,metabolic reprogramming, mass spectrometry, machine learning, 
PXD006743	Proteome-wide changes in primary skin keratinocytes exposed to diesel particulate extract – a role for antioxidants in skin health	PRIDE	Homo sapiens 	Orbitrap Fusion	Rajagopalan et al. (2018)	Aditi Chatterjee	2018-11-06	Biomedical, Skin keratinocytes, pollution, tocopherol, mass spectrometry, quantitative proteomics, 
PXD009010	Identification of the proteins secreted by normal and cirrhotic LSECs	PRIDE	Mus musculus 	LTQ Orbitrap	Maretti-Mira et al. (2018)	Laurie D. DeLeve	2018-11-06	Biomedical, LSECs, MS, shotgun proteomics, 
PXD005086	Ascending colon biopsies from pediatric patients	PRIDE	Homo sapiens 	LTQ Orbitrap Elite	Starr et al. (2017)	Daniel Figeys	2018-11-06	Biomedical, Colon, LCMSMS,, 
PXD009147	Osterix propionylated peptide identification	jPOST	Mus musculus 	Orbitrap Fusion	Fukuda et al. (2018)	Norie Araki	2018-11-04	osterix, propionylation, 
PXD010662	TCTP-interacting proteins in normal and tumor Schwann cells	jPOST	Homo sapiens 	Orbitrap Fusion	Kobayashi et al. (2019)	Norie Araki	2018-11-04	TCTP, interactomics, , 
